Year,Field,Distance,Plant,VegMass,SeedMass,Branch,Pods,Missing,SeedCount,PodCount1,PodMass1,PodCount2,PodMass2,PodCount3,PodMass3,PodCount4,PodMass4,PodCount5,PodMass5
2014,19,20,5,30.1269,10.4031,5,259,61,NA,3,0.0135,30,0.0882,29,0.0497,28,0.0805,25,0.0611
2014,19,100,2,3.4195,0.5105,2,30,20,NA,19,0.0213,11,0.0199,22,0.0537,21,0.0483,21,0.0567
2014,19,100,3,15.5318,5.5282,4,142,59,NA,22,0.0575,14,0.0222,12,0.0415,18,0.0386,19,0.0265
2014,19,100,5,11.7418,4.3282,4,119,38,NA,20,0.0629,16,0.0373,13,0.0457,24,0.0846,19,0.0682
2014,19,500,2,25.8299,5.0001,5,211,113,NA,30,0.0656,28,0.0765,20,0.0605,25,0.0198,29,0.0323
2014,19,500,4,23.0585,9.4715,4,196,51,NA,29,0.0716,21,0.0371,27,0.0656,24,0.0432,26,0.0659
2014,19,500,5,16.1142,6.6858,4,156,50,NA,23,0.0581,19,0.0769,12,0.0211,10,0.0277,23,0.0939
2014,6,5,1,4.0016,1.4884,2,38,10,NA,26,0.065,24,0.0682,21,0.0374,22,0.0313,23,0.0397
2014,6,5,2,8.3057,3.8043,3,82,7,NA,14,0.0424,24,0.0792,27,0.0496,23,0.0628,21,0.0408
2014,6,5,3,2.2215,0.8985,3,24,14,NA,6,0.0133,22,0.0497,6,0.0133,23,0.0472,23,0.0783
2014,6,20,1,33.5717,13.5683,7,299,24,NA,31,0.1377,25,0.0654,27,0.0492,22,0.0433,30,0.1181
2014,6,20,4,18.4488,8.4612,4,171,21,NA,4,0.0096,24,0.0627,28,0.0535,27,0.0607,29,0.1039
2014,6,20,5,11.7085,5.5715,4,89,13,NA,32,0.0759,25,0.0457,17,0.0657,29,0.0806,36,0.1376
2014,6,100,1,4.6704,0.9796,2,37,14,NA,9,0.0074,10,0.0214,10,0.017,20,0.0381,26,0.0581
2014,6,100,2,3.554,1.426,2,34,11,NA,22,0.0502,21,0.0503,14,0.0333,16,0.0362,28,0.0703
2014,6,100,5,3.749,1.941,2,62,-11,NA,15,0.0401,16,0.0529,13,0.0329,19,0.0596,17,0.0683
2014,6,500,2,2.4245,0.6055,0,20,-1,NA,19,0.0333,19,0.0444,17,0.0313,13,0.0181,18,0.0347
2014,6,500,4,6.8599,2.4001,5,79,16,NA,20,0.0454,18,0.0449,11,0.0266,24,0.0635,20,0.0523
2014,6,500,5,21.6311,6.6089,5,174,32,NA,23,0.0495,20,0.0436,30,0.0789,17,0.0565,24,0.1027
2014,17,5,3,4.9061,1.9739,3,47,28,NA,9,0.0214,28,0.0817,20,0.0486,20,0.0526,14,0.0349
2014,17,5,4,14.018,6.432,5,144,21,NA,24,0.0604,27,0.0556,14,0.0267,16,0.0342,21,0.0437
2014,17,5,5,30.6461,0.6439,4,368,228,NA,3,0.0049,5,0.0065,7,0.0112,6,0.0071,2,0.0027
2014,17,20,1,21.8767,9.2033,5,184,54,NA,23,0.0512,24,0.0515,24,0.0555,25,0.0918,29,0.0893
